participant_code,session_code,experiment,prolific_id,part_num,round_number,allocation,kept,random_payoff_part,is_delegation,delegate_decision_optional,orientation_history,comprehension_attempts,incorrect_answers,is_excluded,gender,age,occupation,ai_use,task_difficulty,feedback
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,1,1,46,54,2.0,True,,"{""0"": {""slider_value"": 0.5, ""allocations"": ""46,49,48,48,51,53,47,57,54,42""}}",0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,1,2,49,51,2.0,True,,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,1,3,48,52,2.0,True,,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,1,4,48,52,2.0,True,,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,1,5,51,49,2.0,True,,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,1,6,53,47,2.0,True,,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,1,7,47,53,2.0,True,,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,1,8,57,43,2.0,True,,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,1,9,54,46,2.0,True,,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,1,10,42,58,2.0,True,,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,2,11,23,77,2.0,False,,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,2,12,3,97,2.0,False,,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,2,13,3,97,2.0,False,,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,2,14,3,97,2.0,False,,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,2,15,3,97,2.0,False,,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,2,16,3,97,2.0,False,,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,2,17,3,97,2.0,False,,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,2,18,3,97,2.0,False,,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,2,19,3,97,2.0,False,,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,2,20,3,97,2.0,False,,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,3,21,51,49,2.0,True,True,"{""0"": {""slider_value"": 0.5, ""allocations"": ""51,53,51,49,47,50,56,62,52,59""}}",0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,3,22,53,47,2.0,True,True,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,3,23,51,49,2.0,True,True,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,3,24,49,51,2.0,True,True,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,3,25,47,53,2.0,True,True,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,3,26,50,50,2.0,True,True,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,3,27,56,44,2.0,True,True,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,3,28,62,38,2.0,True,True,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,3,29,52,48,2.0,True,True,{},0,,False,male,23.0,Student,weekly,easy,
6xmaa06h,j7oqpaho,Goal Oriented First,123456789012345678901234,3,30,59,41,2.0,True,True,{},0,,False,male,23.0,Student,weekly,easy,
